14: stout
14: stranger
14: tale
14: tender
14: uncle
14: visible
14: washing
14: whistle
14: wonderful
14: youd
13: 6
13: About
13: Amen
13: Archive
13: Bernard
13: Both
13: COMPTON
13: Conroy
13: Cork
13: Damn
13: Didnt
13: Dignams
13: Dillons
13: Eccles
13: Edward
13: Erin
13: G
13: General
13: Gone
13: Hell
13: Hope
13: Isnt
13: Jingle
13: Keyes
13: Life
13: Literary
13: Looking
13: Majesty
13: Near
13: Noone
13: Other
13: Poulaphouca
13: Private
13: Reuben
13: Round
13: Sad
13: Street
13: Sunday
13: Sweet
13: Through
13: Thursday
13: U
13: accepted
13: advertisement
13: afternoon
13: aid
13: altar
13: altogether
13: appearance
13: area
13: articles
13: asleep
13: awful
13: ay
13: beef
13: bill
13: blond
13: blouse
13: boat
13: break
13: built
13: ceased
13: charming
13: choice
13: cloud
13: cock
13: creaking
13: daughters
13: deceased
13: deeply
13: delight
13: duck
13: egg
13: elbow
13: everybody
13: favour
13: figures
13: final
13: forefinger
13: fork
13: fox
13: genius
13: gift
13: government
13: grass
13: grow
13: hang
13: hath
13: horns
13: inclined
13: individual
13: instead
13: invisible
13: issue
13: keeping
13: leaping
13: literary
13: literature
13: mare
13: mayor
13: mental
13: minds
13: motion
13: nearly
13: nodding
13: non
13: organ
13: pa
13: passes
13: perceived
13: pillar
13: plate
13: poets
13: possessed
13: price
13: proceeded
13: purchase
13: purse
13: raw
13: reflected
13: remain
13: returning
13: scarcely
13: scheme
13: shame
13: shells
13: ships
13: sighed
13: sins
13: size
13: skull
13: sofa
13: sorrow
13: splendid
13: start
13: stay
13: streets
13: striking
13: sunlight
13: tie
13: traveller
13: value
13: van
13: wax
13: win
12: 15
12: Any
12: Bella
12: Brian
12: CAFFREY
12: CISSY
12: CORNY
12: Call
12: Company
12: Dan
12: David
12: Day
12: Doctor
12: Evening
12: Far
12: Friday
12: Gerald
12: Head
12: Howard
12: Hows
12: KELLEHER
12: Klook
12: Latin
12: Leo
12: Listen
12: Lombard
12: Lovely
12: Lydia
12: Mulligans
12: Mullingar
12: Murray
12: Off
12: Once
12: Put
12: Russell
12: Sceptre
12: Sea
12: Thatll
12: Throwaway
12: Try
12: Walk
12: Watch
12: White
12: Wouldnt
12: accompanied
12: ads
12: amount
12: anywhere
12: barrels
12: base
12: bazaar
12: beast
12: bending
12: bet
12: bite
12: blank
12: brain
12: breeches
12: bride
12: caps
12: cases
12: clay
12: copyright
12: costume
12: couple
12: cover
12: crooked
12: date
12: delicate
12: donations
12: dressing
12: events
12: experience
12: faded
12: flag
12: flash
12: flew
12: gates
12: glancing
12: guinea
12: guineas
12: guts
12: hanged
12: havent
12: hid
12: hoofs
12: included
12: island
12: kissing
12: laughs
12: leading
12: level
12: librarian
12: limp
12: linked
12: liver
12: lo
12: lock
12: locked
12: maid
12: mauve
12: measure
12: mighty
12: murmuring
12: mute
12: mystery
12: narrator
12: necessary
12: nights
12: objects
12: onions
12: opinion
12: orders
12: paragraph
12: paw
12: peered
12: picking
12: pigs
12: plays
12: policy
12: prayer
12: previously
12: puts
12: quaker
12: questions
12: rag
12: raising
12: rate
12: receive
12: regular
12: reply
12: runs
12: sail
12: sank
12: seas
12: seaside
12: seem
12: servant
12: shore
12: signs
12: slender
12: slid
12: slight
12: socks
12: solicitor
12: sounds
12: split
12: stomach
12: stops
12: stripling
12: suggested
12: suggestion
12: swaying
12: swiftly
12: system
12: taught
12: teapot
12: thrust
12: tin
12: tour
12: trade
12: union
12: university
12: unknown
12: upright
12: viceregal
12: virgins
12: wagging
12: wandering
12: wears
12: wheels
12: wood
12: ye
11: 16
11: 8
11: Alexander
11: Ask
11: Bald
11: Barney
11: Boody
11: Bushe
11: Castile
11: College
11: Dear
11: Dick
11: Dublins
11: Edmund
11: Excuse
11: Fine
11: Helys
11: Hot
11: Hughes
11: Leonard
11: MOTHER
11: Malahide
11: Mind
11: Monsieur
11: Moore
11: Mother
11: National
11: Please
11: Saturday
11: Sister
11: Tis
11: able
11: absence
11: agent
11: agree
11: angels
11: angle
11: appear
11: ashes
11: associated
11: balance
11: beat
11: begob
11: believed
11: bird
11: bitter
11: blame
11: blew
11: breathing
11: brings
11: brush
11: cabbage
11: calm
11: cane
11: carefully
11: carrying
11: cheers
11: chin
11: choir
11: cocked
11: commercial
11: conscious
11: corpse
11: cost
11: cousin
11: cows
11: crack
11: cutting
11: dare
11: delivery
11: departure
11: direction
11: discussion
11: divine
11: drawer
11: dropping
11: dust
11: elderly
11: empire
11: enjoy
11: expression
11: faint
11: fields
11: flame
11: floating
11: flowing
11: foreign
11: further
11: gaping
11: garters
11: gas
11: glory
11: goodbye
11: gown
11: greeted
11: grew
11: heavily
11: heir
11: helped
11: hit
11: i
11: immortal
11: incense
11: joke
11: kettle
11: kinds
11: lace
11: lap
11: lieutenant
11: lighted
11: listener
11: lunch
11: lying
11: march
11: masters
